pid,name,proj
S0044-59672004000100003,Instituto Nacional de Pesquisas da Amazônia,(PPD - PPG7 Nº1161/99
S0044-59672004000100001,Projeto Várzea/UFRA,
S0044-59672004000100003,Projeto Dinâmica das Interações Bio-Ecológicas e Pulso de Inundações em Áreas Alagáveis,(PPD - PPG7 Nº1161/99
S0044-59672004000100004,PPD-G7/LBA,
S0044-59672004000100007,Brazilian National Research Council (CNPq),
S0044-59672004000100009,UFAM,
S0044-59672004000100010,USP,
S0044-59672004000100010,NCI - Indigenous Culture Centre,
S0044-59672004000100010,Austrian Government,
S0044-59672004000100011,Programa Trópico Úmido - PTU,
S0044-59672004000100012,Brazilian National Council for Scientific and Technological Development (CNPq,nos. 520.354/99-0
S0044-59672004000100012,Brazilian National Council for Scientific and Technological Development (CNPq,550.260/01-3
S0044-59672004000100020,MCT^dINPA,1-3030
S0044-59672004000100020,MCT^dINPA,1-3590
S0044-59672004000300002,BASA,INPA/MCT/PPI 2 3870
S0044-59672004000300004,FINEP^dBrazilian National Program for Development of the Sciences and Technology,
S0044-59672004000300004,Brazilian National Council for Sciences and Technology,
S0044-59672004000300006,Universidade do Estado de Mato Grosso,
S0044-59672004000300007,ELETRONORTE,
S0044-59672004000300007,MCT,
S0044-59672004000300009,Conservation International,
S0044-59672004000300009,Wildlife Conservation Society,
S0044-59672004000300012,The National Science Foundation,
S0044-59672004000300012,the Smithsonian Institution,
S0044-59672004000300012,Manomet Observatory,
S0044-59672004000300012,the Wilson Ornithological Society,
S0044-59672004000400004,Conselho Nacional de Pesquisa e Desenvolvimento Tecnológico^dPrograma do Trópico Úmido,469915/00-5
S0044-59672004000400017,Max-Planck-Institute für Limology^dWorking Group for Tropical Ecology,PP-G7/PPD (Nº 1161/99)
S0044-59672004000400012,MPI Chemie,
S0044-59672005000100003,European Union,98/13237-9
S0044-59672005000100011,BASA/TANQUE-REDE,
S0044-59672005000100011,TANRE^dFINEP,
S0044-59672005000100002,PPD-G7^dLBA,
S0044-59672005000200001,Departament for International Development,
S0044-59672005000200011,Instituto do Milênio,
S0044-59672005000200011,MCT,
S0044-59672005000200011,FINEP,
S0044-59672005000200011,PPG7,
S0044-59672005000200011,NASA,
S0044-59672005000200011,Comunidade Européia,
S0044-59672005000300012,Fundação Djalma Batista,
S0044-59672005000300012,Banco da Amazônia S.A.,
S0044-59672006000300003,UFAM,
S0044-59672006000300005,PICDT,
S0044-59672006000300005,UFPA,
S0044-59672006000300006,Bioamazonia,BASA-FEPAD
S0044-59672006000300009,SUFRAMA,
